PV_name,values,py_data_type
IOC:LAS:XCS:CTR:01:START_CNT,1.0,<class 'float'>
LAS:FS4:CNT:FQ:FREQ_RBCK_PROC_,0.0,<class 'float'>
LAS:FS4:CNT:FQSR_recentlyStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_rebootStatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_rebootTime,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQSR_statusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_0_Name,Not In Use,<class 'str'>
LAS:FS4:CNT:FQSR_0_StatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_0_Time,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQSR_1_Name,Not In Use,<class 'str'>
LAS:FS4:CNT:FQSR_1_StatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_1_Time,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQSR_2_Name,Not In Use,<class 'str'>
LAS:FS4:CNT:FQSR_2_StatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_2_Time,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQSR_3_Name,Not In Use,<class 'str'>
LAS:FS4:CNT:FQSR_3_StatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_3_Time,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQSR_4_Name,Not In Use,<class 'str'>
LAS:FS4:CNT:FQSR_4_StatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_4_Time,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQSR_5_Name,Not In Use,<class 'str'>
LAS:FS4:CNT:FQSR_5_StatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_5_Time,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQSR_6_Name,Not In Use,<class 'str'>
LAS:FS4:CNT:FQSR_6_StatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_6_Time,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQSR_7_Name,Not In Use,<class 'str'>
LAS:FS4:CNT:FQSR_7_StatusStr,Status unknown,<class 'str'>
LAS:FS4:CNT:FQSR_7_Time,Not yet saved,<class 'str'>
LAS:FS4:CNT:FQ:PROTOCOL,53210A,<class 'str'>
LAS:FS4:CNT:FQSR_heartbeat,0,<class 'int'>
LAS:FS4:CNT:FQSR_i_am_alive,1,<class 'int'>
